Rk,Pos,Player,Tm,1st_Place_Votes,Share,G,GS,Cmp,Att,Yds,TD,Int,year
2,QB,Lamar Jackson,Baltimore Ravens,22.0,0.4489795918367347,17,17,316,474,4172,41,4,2024
4,QB,Joe Burrow,Cincinnati Bengals,0.0,0.0,17,17,460,652,4918,43,9,2024
5,QB,Jared Goff,Detroit Lions,0.0,0.0,17,17,390,539,4629,37,12,2024
6,QB,Patrick Mahomes,Kansas City Chiefs,0.0,0.0,16,16,392,581,3928,26,11,2024
7,QB,Jayden Daniels,Washington Commanders,0.0,0.0,17,17,331,480,3568,25,9,2024
9,QB,Justin Herbert,Los Angeles Chargers,0.0,0.0,17,17,332,504,3870,23,3,2024
10,QB,Sam Darnold,Minnesota Vikings,0.0,0.0,17,17,361,545,4319,35,12,2024
11,QB,Baker Mayfield,Tampa Bay Buccaneers,0.0,0.0,17,17,407,570,4500,41,16,2024
1,QB,Matthew Stafford,Los Angeles Rams,24.0,0.48,17,17,388,597,4707,46,8,2025
2,QB,Drake Maye,New England Patriots,23.0,0.46,17,17,354,492,4394,31,8,2025
3,QB,Josh Allen,Buffalo Bills,2.0,0.04,17,17,319,460,3668,25,10,2025
5,QB,Trevor Lawrence,Jacksonville Jaguars,0.0,0.0,17,17,341,560,4007,29,12,2025
6,QB,Justin Herbert,Los Angeles Chargers,1.0,0.02,16,16,340,512,3727,26,13,2025
