,,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,-additional
Rk,Pos,Player,Tm,Votes,Share,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,-9999
1,QB,Tom Brady,New England Patriots,40.0,80%,16,16,385,581,4577,32,8,25,28,0,0,0,0,0,0.0,0,BradTo00
2,RB,Todd Gurley,Los Angeles Rams,8.0,16%,15,15,0,0,0,0,0,279,1305,13,64,788,6,0,0.0,0,GurlTo01
3,QB,Carson Wentz,Philadelphia Eagles,2.0,4%,13,13,265,440,3296,33,7,64,299,0,0,0,0,0,0.0,0,WentCa00
