,,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,-additional
Rk,Pos,Player,Tm,Votes,Share,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,-9999
1,QB,Aaron Rodgers,Green Bay Packers,39.0,78%,16,16,366,531,4115,37,4,33,101,3,1,-4,0,0,0.0,0,RodgAa00
2,QB,Tom Brady,Tampa Bay Buccaneers,10.0,20%,17,17,485,719,5316,43,12,28,81,2,0,0,0,0,0.0,0,BradTo00
3,WR,Cooper Kupp,Los Angeles Rams,1.0,2%,17,17,0,1,0,0,0,4,18,0,145,1947,16,1,0.0,0,KuppCo00
