,,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,-additional
Rk,Pos,Player,Tm,Votes,Share,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,-9999
1,RB,Marshall Faulk,St. Louis Rams,24.0,48%,14,14,0,0,0,0,0,253,1359,18,81,830,8,0,0.0,0,FaulMa00
2,QB,Donovan McNabb,Philadelphia Eagles,11.0,22%,16,16,330,569,3365,21,13,86,629,6,2,5,0,0,0.0,0,McNaDo00
3,RB,Eddie George,Tennessee Titans,8.0,16%,16,16,0,0,0,0,0,403,1509,14,50,453,2,0,0.0,0,GeorEd00
4,QB,Rich Gannon,Oakland Raiders,5.0,10%,16,16,284,473,3430,28,11,89,529,4,0,0,0,0,0.0,0,GannRi00
5,MLB,Ray Lewis,Baltimore Ravens,1.0,2%,16,16,0,0,0,0,0,0,0,0,0,0,0,108,3.0,2,LewiRa00
6,QB,Peyton Manning,Indianapolis Colts,1.0,2%,16,16,357,571,4413,33,15,37,116,1,0,0,0,,0.0,0,MannPe00
