,,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,-additional
Rk,Pos,Player,Tm,Votes,Share,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,-9999
1,QB,Aaron Rodgers,Green Bay Packers,31.0,62%,16,16,341,520,4381,38,5,43,269,2,0,0,0,0,0.0,0,RodgAa00
2,LDE,J.J. Watt,Houston Texans,13.0,26%,16,16,0,0,0,0,0,0,0,0,3,4,3,59,20.5,1,WattJ.00
3,RB,DeMarco Murray,Dallas Cowboys,2.0,4%,16,16,0,0,0,0,0,392,1845,13,57,416,0,0,0.0,0,MurrDe00
4,QB,Tony Romo,Dallas Cowboys,2.0,4%,15,15,304,435,3705,34,9,26,61,0,0,0,0,0,0.0,0,RomoTo00
5,QB,Tom Brady,New England Patriots,1.0,2%,16,16,373,582,4109,33,9,36,57,0,0,0,0,0,0.0,0,BradTo00
6,MLB,Bobby Wagner,Seattle Seahawks,1.0,2%,11,11,0,0,0,0,0,0,0,0,0,0,0,67,2.0,0,WagnBo00
