,,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,-additional
Rk,Pos,Player,Tm,Votes,Share,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,-9999
1,QB,Peyton Manning,Indianapolis Colts,16.0,32%,16,16,379,566,4267,29,10,28,26,0,1,-2,0,0,0.0,0,MannPe00
2,QB,Steve McNair,Tennessee Titans,16.0,32%,14,14,250,400,3215,24,7,38,138,4,1,4,0,0,0.0,0,McNaSt00
3,QB,Tom Brady,New England Patriots,8.0,16%,16,16,317,527,3620,23,12,42,63,1,0,0,0,0,0.0,0,BradTo00
4,RB,Jamal Lewis,Baltimore Ravens,5.0,10%,16,16,0,0,0,0,0,387,2066,14,26,205,0,0,0.0,0,LewiJa00
5,RB,Priest Holmes,Kansas City Chiefs,3.0,6%,16,16,0,1,0,0,0,320,1420,27,74,690,0,,0.0,0,HolmPr00
6,RILB,Ray Lewis,Baltimore Ravens,2.0,4%,16,16,0,0,0,0,0,0,0,0,0,0,0,121,1.5,6,LewiRa00
