,,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,-additional
Rk,Pos,Player,Tm,Votes,Share,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,-9999
1,QB,Kurt Warner,St. Louis Rams,21.5,43%,16,16,375,546,4830,36,22,28,60,0,0,0,0,0,0.0,0,WarnKu00
2,RB,Marshall Faulk,St. Louis Rams,17.5,35%,14,14,0,1,0,0,0,260,1382,12,83,765,9,0,0.0,0,FaulMa00
3,QB,Brett Favre,Green Bay Packers,5.0,10%,16,16,314,510,3921,32,15,38,56,1,0,0,0,,0.0,0,FavrBr00
4,QB,Kordell Stewart,Pittsburgh Steelers,4.0,8%,16,16,266,442,3109,14,11,96,537,5,0,0,0,0,0.0,0,StewKo00
5,MLB,Brian Urlacher,Chicago Bears,2.0,4%,16,16,0,0,0,0,0,0,0,0,1,27,1,91,6.0,3,UrlaBr00
