,,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,-additional
Rk,Pos,Player,Tm,Votes,Share,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,-9999
1,QB,Peyton Manning,Indianapolis Colts,39.5,79%,16,16,393,571,4500,33,16,19,-13,0,0,0,0,0,0.0,0,MannPe00
2,QB,Drew Brees,New Orleans Saints,7.5,15%,15,15,363,514,4388,34,11,22,33,2,1,-4,0,0,0.0,0,BreeDr00
3,QB,Philip Rivers,San Diego Chargers,2.0,4%,16,16,317,486,4254,28,9,26,50,1,0,0,0,0,0.0,0,RivePh00
4,QB,Brett Favre,Minnesota Vikings,1.0,2%,16,16,363,531,4202,33,7,9,7,0,1,-2,0,0,0.0,0,FavrBr00
