,,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,-additional
Rk,Pos,Player,Tm,Votes,Share,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,-9999
1,QB,Matt Ryan,Atlanta Falcons,25.0,50%,16,16,373,534,4944,38,7,35,117,0,0,0,0,0,0.0,0,RyanMa00
2,QB,Tom Brady,New England Patriots,10.0,20%,12,12,291,432,3554,28,2,28,64,0,0,0,0,0,0.0,0,BradTo00
3,QB,Derek Carr,Oakland Raiders,6.0,12%,15,15,357,560,3937,28,6,39,70,0,0,0,0,0,0.0,0,CarrDe02
4,RB,Ezekiel Elliott,Dallas Cowboys,6.0,12%,15,15,0,0,0,0,0,322,1631,15,32,363,1,0,0.0,0,ElliEz00
5,QB,Aaron Rodgers,Green Bay Packers,2.0,4%,16,16,401,610,4428,40,7,67,369,4,0,0,0,0,0.0,0,RodgAa00
6,QB,Dak Prescott,Dallas Cowboys,1.0,2%,16,16,311,459,3667,23,4,57,282,6,0,0,0,0,0.0,0,PresDa01
