,,,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,-additional
Rk,Pos,Player,Tm,Vote Pts,1st Place,Share,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,-9999
1,QB,Matthew Stafford,Los Angeles Rams,366.0,24,73.2%,17,17,388,597,4707,46,8,29,1,0,0,0,0,0,0.0,0,StafMa00
2,QB,Drake Maye,New England Patriots,361.0,23,72.2%,17,17,354,492,4394,31,8,103,450,4,1,2,0,0,0.0,0,MayeDr00
3,QB,Josh Allen,Buffalo Bills,91.0,2,18.2%,17,17,319,460,3668,25,10,112,579,14,0,0,0,0,0.0,0,AlleJo02
4,RB,Christian McCaffrey,San Francisco 49ers,71.0,0,14.2%,17,17,0,1,0,0,0,311,1202,10,102,924,7,0,0.0,0,McCaCh01
5,QB,Trevor Lawrence,Jacksonville Jaguars,49.0,0,9.8%,17,17,341,560,4007,29,12,82,359,9,0,0,0,0,0.0,0,LawrTr00
6,QB,Justin Herbert,Los Angeles Chargers,,1,,16,16,340,512,3727,26,13,83,498,2,0,0,0,0,0.0,0,HerbJu00
